書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
法醫娘親颯爆了,天下。,愛情,完結,110,吾里文化,古代言情,穿越架空,,,,https://mojoin.com/novels/3819,"21世紀女法醫琴晚，醫解雙刀，一刀治人，一刀驗屍 
結果她因事故意外死亡穿越到同名同姓的女孩身上
穿越當下就遇上難產、兇殺， 但她莫名多了金手指？
親手剖腹產子，還驗屍破案， 結果卻被路過查案的巡按沈遇盯上，為躲麻煩，改頭換面隱走他鄉。

誰想一日，又遇上
沈遇眸色氤氳，冷芒暗藏，大手緊掌細腰將人扣住。
「帶著本王的孩子，還想跑？」
琴晚眸色清冽，無波無瀾。
「有何不敢，畢竟某人不行」"
生存大佬她又狠又撩,禦七君,愛情,完結,0,吾里文化,古代言情,廢材逆襲,,,,https://mojoin.com/novels/3818,"【女強＋爽文＋無限流＋升級流＋金手指嘎嘎猛】 
在奚鹿除了一條爛命一無所有時，踏入了一款生存遊戲。 
只要活下來，可以拿生存積分兌換現實中的一切，包括金錢、豪宅、名牌…… 很快，她發現了自己的與眾不同——她的眼睛可以看透這款遊戲的代碼，整個遊戲世界任她操控！ ！ 
那麼，真正的遊戲開始了。
 —————溫馨提示———— 書中感情線慢熱，非一見鍾情，男配多，1v1，金手指會升級。 
女主角權衡利弊不愛救人不喜勿入，比心~"
將門嬌，暴戾攝政王你被拿捏了！,見一抹綠,愛情,完結,0,吾里文化,古代言情,女強重生,,,,https://mojoin.com/novels/3817,"【重生+古代言情+嫡女+甜寵+寵妻+皇后+女強】 
前世的蘇羨慕漁活的糊塗，夫君慘死自己面前，自己也被黑心肝的一刀穿了心。 
重生歸來，蘇羨慕漁自己送上門去，嫁給了前世的夫君。 
虐渣女，打渣男，平戰亂，成為了遠近聞名的將軍。 
而她的夫君，前世的攝政王卻成了帝皇，在封後典禮當晚。 
攝政王大人在她耳邊呢喃：“今生，我可是你想要的了？
「 蘇羨慕漁咬著小手帕，一身冷汗，縮到角落，“你，你，你也是重生的？」"
醫庶成狂：盛寵世子妃,藍衣初雲,愛情,完結,174,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3155,"21世紀的天才醫生蘇小小，因為一場催眠事故，不小心重生在蒼藍大陸西涼國成為藥學家族意外身死的天才庶女身上。
沒事兒，醫經在手天下我有！姐過目不忘，毀了看誰敢搶！

醫也好，毒也好，藥這東西就和女人一樣是把雙刃劍，用對就好。
醫術麼？簡單！催眠術麼？更簡單！
各國皇子，她桃花不斷，唯一有挑戰性的，大概只有眼前這冰塊兒將軍了吧？

「娘子，咳咳，為夫有隱疾，這……」

「放鬆，我幫你檢查檢查，治愈治愈！」"
醫見鍾情,辣筆小新,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3154,"微博寵物小達人蘇麥麥，一見鍾情主治醫生江苡仁。
為了早日追到江美人，誘拐人家狗子哈里，憑藉著寵狗子就是寵主子的原則。
蘇麥麥使出殺手鐧，十八摸連環扣，層層撬開江美人的心坎，
終有一日，江美人感覺到了危機四伏，拎人，「想做我大腿？那麼自己爬上來……」"
舊恨相思纏做繭,森林野生小石榴子,愛情,完結,22,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3153,"她在風月場裡等一場愛情，從青樓小花，等到她成為，
艷冠天下的第一名妓從動心到動情，從心灰到心思「從三年前，到你將我買入你府中，你林軼聞到底、可曾愛過我？」
他一句「等我」，讓她在得不到有關他任何消息的情況下，等了三年。

在她覓得良人，要贖身離開的當晚，他強行要了她，並將她買下，囚在府中日夜發洩折磨。

她被下人污衊構陷，他視而不見。
她被官差輪番毒打，他充耳不聞。
她被山匪挾持侮辱，他漠然路過。
她生下死胎精神崩潰，他要她再懷一個。"
總有刁民害本宮,林遲染,愛情,完結,620,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3152,"【穿越+嫡女+醫妃+空間+寵妻+爽文+1v1】

她是二十二世紀，能醫會武的第一神醫，卻穿越成府中連丫鬟都能踩一腳的廢物嫡小姐。
待她手持空間，光芒萬丈翻雲覆雨，顛亂都城驚艷四季，欺負她的人一個都別想逃。
他是擁有戰神稱號的太子殿下，全都城女人的夢寐以求。偏被這個『廢物』撿了便宜。
誰說太子妃是廢物，本宮可是錦鯉。宋延汐上得廳堂下得廚房，保了殿下前程似錦，旺夫的面相讓殿下喜得愛得！

初見，殿下撩人：「如此趣人，兩清豈不可惜。」
後來，殿下霸氣：「本宮的小野貓，撓死人本宮賠。」
娘娘掌管東宮時，殿下在床：「愛妃，本宮冷了。」"
錦繡良緣：撿個太子來種田,歐畢零三,愛情,完結,30,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3150,"大明星溫如月威亞失事，一朝穿越重生喜當娘；丈夫剛死就被掃地出門，領著四個娃無家可歸；小寡婦絕地逢生，鬥長嫂，撕流氓，各種計策賺大錢；
日子本是逍遙自在，可誰知當初無意間撿的傻子盡然是當朝太子，自己的小竹馬？"
錦繡田園，嬌俏村婦有點甜,鶯時醉,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3149,"蘇小鳳死了，又活了，確切的說是重生了。
重生在了不知哪個朝代的農戶中，是個重達二百斤的大胖子。
這個家不好過，前有奸詐嫂子，後有時時想要霸占他們家那三畝地的二叔。
作為新時代的女強人，蘇小鳳表示這些都不是事兒。
她只有一件心事。
自從下嫁給村東頭的醜瘸子後。
她發覺醜瘸子竟然不醜也不瘸，還是個大美男，而且身份超級逆天。
最最重要的是，他總是變著法兒的想要她那點家當！！！"
獨寵狼妃：王爺要惜身,妖紅,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3148,"她逆來順受，溫柔嫻淑，卻落得家破人亡，幼子被人挖心。
重生一世，她要遇神殺神，遇魔殺魔，她要逆天改命，哪怕是要霍亂天下；
他從小面容被毀，狠戾無情，一著心動，為她上天入地，生死無悔。

「娶我？王爺沒聽人提起，我缺一點為狠，心狠手辣，多一點為狼，狼心歹毒？」
「本王就喜歡你這狠毒的樣子。」
「我心眼小，可容不得你後院有其他女人，你就不怕我把她們撕碎。」
「本王心中眼中只有你一個女人，後院之中，也只容你一位女人，若是有母的，你愛怎麼處置就怎麼處置。」
「我……」
「王妃不用說了，什麼條件我都答應你。」"
嬌妻來襲：推倒首席大人,慕容小杰,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3147,"身為一個小小娛記，沈凌薇最大的夢想卻是成為娛樂圈影后！
誰知道，卻一個不小心被囂張的總裁大人給潛了潛了潛了！！！
星途還沒璀璨，困難接踵而至，緊接著，天大的秘密一個一個揭開！
且看歡喜冤家如何終生眷屬！面對桃花一二三朵，看沈凌薇如何掐掉陳雨澤的爛桃花！
沈凌薇不僅要翻身農奴把歌唱，一躍星途成影后，撲倒總裁麼麼噠！還要回家啪啪啪！"
墨少的新婚罪妻不好惹,妍妍妮子,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3146,"一個通話記錄，紀婉晴被丟進了監獄中。
從此人生髮生劇變。
未婚夫被搶，家里人拋棄，雙腿被打成殘廢，出獄後還要被人踩賤侮辱……
一無所有的她想要好好活著都是奢望！
可他卻闖進了她的世界。
她以為他是她的光，她的救贖，卻不想他竟是罪魁禍首！
絕望的紀婉晴只想逃離！
可墨一寒卻如影相隨。

「你的前半生因我而毀，你的後半生有我來償！」哪怕付出生命，他也只想給她幸福！"
鳳妃謀,懸玲不語,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3145,"蓮霜沉作為一個女殺手，可謂兢兢業業……
別人在主公面前獻媚，她在殺人！
別人在主公面前詆毀她是叛徒時，她還在殺人！
……
主公無奈，派她去刺殺樊帝，多日後——
主公問：「樊帝死了嗎？」 屬下回答：「沒有。」
主公問：「為何？還有她蓮霜沉殺不掉的人？」
屬下回答：「她好像對樊帝……」

主公莫名覺得煩躁，衝進樊宮。

蓮霜沉：「你對我動情了？」
主公：「我沒有！我不是！我不可能！」"
辣妻天降：鬼夫去種田,葉兒綠,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3144,"好人不長命，禍害遺千年！
葉梓萱不過是難得的做了回好人，結果就被撞身死，靈魂穿越回了古代。
家中一貧如洗，自己被賣沖喜，丈夫癱瘓在床不說還一堆極品親戚，難道好人真的做不得？
等等，床前這飄來飄去的是什麼？
不會是……
鬼啊！

葉梓萱：「現在天黑了，快去給我種田！不要一天飄來飄去！」
某隻阿飄：「是，娘子說得對，為夫這就去！」"
誘拐呆萌妻：少董寵愛無度,黛夢,愛情,完結,92,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3143,"只是一個協議婚姻，做做樣子的婚禮，兩個人以夫妻名義生活著，沒料到，
兩顆心卻慢慢地當了真，卻又默契地選擇了不驚動另一顆心。

她只當他還一心一意愛著那嬌俏可人的七年小女友，一直，一直不敢說出口。
他也只當，她是為了不想坐牢，是為了還上一輩的情，勉為其難地做著他晉家的大少奶奶。
當她離去後，他發現自己夜夜難眠。
而離開了他的她，將全部的思念灌注在，她與他的兒子身上。
再次的相遇，終於都知道彼此錯過了多少，還好，不曾錯失你。
"
蜜戀甜妻：早安，男神,阮郎歸,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3098,"墨小妖去面試，卻遇上了過於風姿綽約的面試官，她一個激動，鼻血長流外加不雅暈倒！
一覺醒來，男神還在眼前！

墨小妖趁機理直氣壯的告白：「是你救了我啊，那你就是我的救命恩人了！
鄙人此生無能故無以為報，唯有以身相許才能表達我對你的感激之情，望您能給我報恩的機會。」

然而男神太傲嬌，想要轉移話題！
哈！當她墨小妖是善男信女啊！且看她怎樣花樣搞定男神！"
團寵萌妃超凶噠,安徒離,愛情,完結,23,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3097,"樓容漪死後才知道，自己是一本書中的砲灰女配，
重生歸來，她只想抱穩男主大腿，
避過死局危機，努力活到壽終正寢，
然而不知不覺成了團寵。

爹爹：「欺負我女兒的都得死！」
某和尚：「寵容容，得好運。」
某神醫：「徒兒好，徒兒妙，徒兒是萌萌噠小棉襖。唯有男主黏手還會咬人，不光抱上就不給撒開，還被他逼進牆角，緊緊抵住。」

男人灼燙的氣息拂過耳尖：「容容，別想躲開我。」
樓容漪紅著臉悲憤，指著自己脖子上他留下的罪證：「那也不能動嘴啊！」
男人陷入沉默：「難道，可以直接動手？」"
農門嬌寵：王妃原來是首富,杏花雨瓣兒,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3096,"【古代言情王妃種田穿越甜寵寵妻】

她，是貴婦圈裡千金難求的全能時尚達人。
一朝穿越，居然成為被分配到鄉下改造的落魄王妃。
京城里人人嫌惡，在鄉下也是人人喊打。
這不剛睜開眼睛，就被人揮刀追了八條街。
不過嘛！危機也是機遇，這不她又將時尚事業發展到古代了麼。
然後她那腹黑不好惹的夫君，就听說她在鄉下混得風生水起，冷臉找了過來。

「王妃乃千金之軀，如此拋頭露面成何體統！」
「所以，王爺這是要問罪，還是藉口想接我回府呢？」
「本王……」

蕭禹宸將她攔腰摟進懷中，

「王妃這麼閒不住，不如替本王生一窩猴子耍耍。」"
督軍，莫問歸妻,vivi薇安,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3095,"賀晉存從沒想過會愛上聶婉清，愛的那麼深那麼狠。
然而感情就是如此，遇見了她，便像是著了魔。
以前，大帥府的人都說，他和她是情正逢時。
可後來，他才明白什麼叫做緣淺情深。

「你殺了我吧！」她跪著求他，痛不欲生。
他冷著臉道：「既然你這麼想死，我便讓你給那個姓蔣的陪葬！」
他手握重權，攬盡繁華，可沒了她，一切不過是裊裊雲煙。"
爺，王妃又砸牌匾了,孜然粉哇,愛情,完結,2,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3094,"再次睜開眼，蘇落清竟然穿成了爹不疼娘不愛的庶女，
被未婚夫休棄不說，還被迫嫁給了一個殘暴冷血王爺顧北擎？
在府裡一沒根底二沒勢力受人欺侮，小妾還敢爬上頭作威作福，反了天了！
她堂堂一代名醫，在21世紀威風八面的人物，豈能栽在這裡？
「統統發賣！」
她憑著王妃的頭銜，開始欺壓小老婆，
本以為能夠鯉魚翻身，卻沒想到撩到了某個腹黑男人的心窩……

【小劇場】
「爺，王妃將柳府牌匾砸了。」
「為何？」
「說是柳家小姐試圖勾引爺，給點教訓。」
「無事，重做一塊送去。」

幾日後。
「爺，王妃又將全京都的牌匾都砸了，說是小姐們故意接近爺。」
「統統重做送去。」
…
蘇落清站在聶王府，正要舉石頭，男人攬住她的腰。

「王妃，使不得，這可是皇上欽此，不能砸。」
「砸，只要你高興。」
【這麼寵？ 】
【寵得無法無天，王爺寵起妻來不得了，惹得全京都姑娘們都春心蕩漾，要男人只要這款！ 】"
愛你情深意長,夏涼初,愛情,完結,520,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3093,"十年前，他救她出火海，
用身體擋住了倒塌的樑柱，從此前途斷送。

十年後，他已經站在雲端錢權在握，精心的策劃只為誘她入局。
「卓先生，時間到了，我們的協議婚姻該結束了。」
她遞上的離婚協議書被他撕的粉碎。
－
我曾留有私心，如果這輩子都找不到你，那麼下輩子我想再試一次。"
